Server,Time Elapsed(s),Successful Requests,Failed Requests
time.apple.com,3,1,0
time.apple.com,4,17,0
time.apple.com,5,20,0
time.apple.com,6,18,0
time.apple.com,7,19,0
time.apple.com,8,20,0
time.apple.com,9,21,0
time.apple.com,10,20,0
time.apple.com,11,19,0
time.apple.com,12,19,0
time.apple.com,13,16,0
time.apple.com,14,18,0
time.apple.com,16,20,0
time.apple.com,17,21,0
time.apple.com,18,21,0
time.apple.com,19,19,0
time.apple.com,20,19,0
time.apple.com,21,18,0
time.apple.com,22,20,0
time.apple.com,23,20,0
time.apple.com,24,20,0
time.apple.com,25,20,0
time.apple.com,26,21,0
time.apple.com,27,20,0
time.apple.com,28,11,0
time.apple.com,29,19,0
time.asia.apple.com,1,19,0
time.asia.apple.com,2,19,0
time.asia.apple.com,3,20,0
time.asia.apple.com,4,19,0
time.asia.apple.com,5,20,0
time.asia.apple.com,6,20,0
time.asia.apple.com,7,21,0
time.asia.apple.com,8,18,0
time.asia.apple.com,9,18,0
time.asia.apple.com,10,18,0
time.asia.apple.com,11,20,0
time.asia.apple.com,12,19,0
time.asia.apple.com,13,21,0
time.asia.apple.com,14,19,0
time.asia.apple.com,15,20,0
time.asia.apple.com,16,20,0
time.asia.apple.com,17,19,0
time.asia.apple.com,18,19,0
time.asia.apple.com,20,20,0
time.asia.apple.com,21,21,0
time.asia.apple.com,22,19,0
time.asia.apple.com,23,19,0
time.asia.apple.com,24,16,0
time.asia.apple.com,25,21,0
time.asia.apple.com,26,20,0
time.asia.apple.com,27,20,0
time.asia.apple.com,28,18,0
time.asia.apple.com,29,20,0
time.euro.apple.com,1,20,0
time.euro.apple.com,2,23,0
time.euro.apple.com,7,17,1
time.euro.apple.com,13,12,1
time.euro.apple.com,14,20,0
time.euro.apple.com,19,1,1
time.euro.apple.com,20,20,0
time.euro.apple.com,26,9,1
time.euro.apple.com,27,22,0
time.euro.apple.com,28,14,0
time.euro.apple.com,33,18,1
time.cloudflare.com,1,18,0
time.cloudflare.com,2,23,0
time.cloudflare.com,3,20,0
time.cloudflare.com,4,22,0
time.cloudflare.com,5,23,0
time.cloudflare.com,6,19,0
time.cloudflare.com,11,9,1
time.cloudflare.com,12,23,0
time.cloudflare.com,13,22,0
time.cloudflare.com,14,23,0
time.cloudflare.com,15,21,0
time.cloudflare.com,16,18,0
time.cloudflare.com,17,18,0
time.cloudflare.com,18,23,0
time.cloudflare.com,19,23,0
time.cloudflare.com,20,22,0
time.cloudflare.com,21,18,0
time.cloudflare.com,23,19,0
time.cloudflare.com,24,21,0
time.cloudflare.com,25,22,0
time.cloudflare.com,26,18,0
time.cloudflare.com,27,20,0
time.cloudflare.com,28,22,0
time.cloudflare.com,29,22,0
time.facebook.com,1,15,0
time.facebook.com,2,16,0
time.facebook.com,3,16,0
time.facebook.com,4,15,0
time.facebook.com,5,17,0
time.facebook.com,6,16,0
time.facebook.com,7,15,0
time.facebook.com,8,15,0
time.facebook.com,9,15,0
time.facebook.com,10,16,0
time.facebook.com,11,14,0
time.facebook.com,12,16,0
time.facebook.com,13,15,0
time.facebook.com,14,11,0
time.facebook.com,15,16,0
time.facebook.com,16,14,0
time.facebook.com,17,17,0
time.facebook.com,18,16,0
time.facebook.com,19,15,0
time.facebook.com,20,14,0
time.facebook.com,21,14,0
time.facebook.com,22,16,0
time.facebook.com,23,17,0
time.facebook.com,24,17,0
time.facebook.com,25,17,0
time.facebook.com,26,14,0
time.facebook.com,27,16,0
time.facebook.com,28,16,0
time.facebook.com,30,10,0
time1.facebook.com,1,18,0
time1.facebook.com,2,23,0
time1.facebook.com,3,22,0
time1.facebook.com,4,23,0
time1.facebook.com,5,22,0
time1.facebook.com,6,18,0
time1.facebook.com,7,20,0
time1.facebook.com,8,22,0
time1.facebook.com,9,21,0
time1.facebook.com,10,21,0
time1.facebook.com,11,23,0
time1.facebook.com,12,23,0
time1.facebook.com,13,23,0
time1.facebook.com,14,21,0
time1.facebook.com,15,23,0
time1.facebook.com,16,23,0
time1.facebook.com,17,22,0
time1.facebook.com,18,21,0
time1.facebook.com,19,20,0
time1.facebook.com,20,22,0
time1.facebook.com,21,25,0
time1.facebook.com,22,23,0
time1.facebook.com,23,21,0
time1.facebook.com,25,23,0
time1.facebook.com,26,16,0
time1.facebook.com,27,20,0
time1.facebook.com,28,23,0
time1.facebook.com,29,21,0
time2.facebook.com,1,22,0
time2.facebook.com,2,19,0
time2.facebook.com,3,21,0
time2.facebook.com,4,15,0
time2.facebook.com,5,22,0
time2.facebook.com,6,19,0
time2.facebook.com,7,15,0
time2.facebook.com,8,19,0
time2.facebook.com,9,18,0
time2.facebook.com,10,21,0
time2.facebook.com,11,14,0
time2.facebook.com,12,21,0
time2.facebook.com,13,21,0
time2.facebook.com,14,21,0
time2.facebook.com,15,22,0
time2.facebook.com,16,19,0
time2.facebook.com,17,18,0
time2.facebook.com,18,19,0
time2.facebook.com,19,22,0
time2.facebook.com,20,22,0
time2.facebook.com,21,15,0
time2.facebook.com,22,21,0
time2.facebook.com,23,23,0
time2.facebook.com,24,21,0
time2.facebook.com,25,20,0
time2.facebook.com,26,20,0
time2.facebook.com,27,21,0
time2.facebook.com,28,22,0
time2.facebook.com,29,19,0
time3.facebook.com,1,17,0
time3.facebook.com,2,18,0
time3.facebook.com,3,19,0
time3.facebook.com,4,19,0
time3.facebook.com,5,23,0
time3.facebook.com,6,18,0
time3.facebook.com,7,20,0
time3.facebook.com,8,19,0
time3.facebook.com,9,20,0
time3.facebook.com,10,19,0
time3.facebook.com,11,21,0
time3.facebook.com,12,19,0
time3.facebook.com,13,19,0
time3.facebook.com,14,20,0
time3.facebook.com,15,21,0
time3.facebook.com,16,18,0
time3.facebook.com,17,18,0
time3.facebook.com,18,11,0
time3.facebook.com,19,18,0
time3.facebook.com,20,19,0
time3.facebook.com,21,20,0
