Server,Time Elapsed(s),Successful Requests,Failed Requests
time.apple.com,1,12,0
time.apple.com,2,9,0
time.apple.com,7,8,1
time.apple.com,9,12,0
time.apple.com,10,9,0
time.apple.com,11,9,0
time.apple.com,12,13,0
time.apple.com,17,3,1
time.apple.com,18,12,0
time.apple.com,20,8,0
time.apple.com,21,12,0
time.apple.com,26,4,1
time.apple.com,27,11,0
time.apple.com,28,9,0
time.apple.com,34,8,1
time.asia.apple.com,1,10,0
time.asia.apple.com,6,1,1
time.asia.apple.com,12,10,1
time.asia.apple.com,13,11,0
time.asia.apple.com,14,12,0
time.asia.apple.com,20,9,1
time.asia.apple.com,21,12,0
time.asia.apple.com,26,0,1
time.asia.apple.com,27,12,0
time.asia.apple.com,32,0,1
time.euro.apple.com,1,12,0
time.euro.apple.com,2,13,0
time.euro.apple.com,3,13,0
time.euro.apple.com,8,6,1
time.euro.apple.com,14,5,1
time.euro.apple.com,15,12,0
time.euro.apple.com,16,11,0
time.euro.apple.com,17,10,0
time.euro.apple.com,18,13,0
time.euro.apple.com,19,8,0
time.euro.apple.com,20,13,0
time.euro.apple.com,21,13,0
time.euro.apple.com,23,13,0
time.euro.apple.com,24,12,0
time.euro.apple.com,29,1,1
time.euro.apple.com,34,6,1
time.cloudflare.com,1,12,0
time.cloudflare.com,2,12,0
time.cloudflare.com,3,13,0
time.cloudflare.com,4,13,0
time.cloudflare.com,5,12,0
time.cloudflare.com,6,12,0
time.cloudflare.com,7,12,0
time.cloudflare.com,8,13,0
time.cloudflare.com,9,12,0
time.cloudflare.com,10,13,0
time.cloudflare.com,11,12,0
time.cloudflare.com,12,13,0
time.cloudflare.com,13,13,0
time.cloudflare.com,14,13,0
time.cloudflare.com,15,12,0
time.cloudflare.com,16,12,0
time.cloudflare.com,17,13,0
time.cloudflare.com,18,12,0
time.cloudflare.com,19,12,0
time.cloudflare.com,20,12,0
time.cloudflare.com,21,13,0
time.cloudflare.com,22,12,0
time.cloudflare.com,23,12,0
time.cloudflare.com,25,13,0
time.cloudflare.com,26,12,0
time.cloudflare.com,27,13,0
time.cloudflare.com,28,13,0
time.cloudflare.com,29,12,0
time.facebook.com,1,12,0
time.facebook.com,2,11,0
time.facebook.com,3,13,0
time.facebook.com,4,12,0
time.facebook.com,5,13,0
time.facebook.com,6,12,0
time.facebook.com,7,12,0
time.facebook.com,8,13,0
time.facebook.com,9,13,0
time.facebook.com,10,12,0
time.facebook.com,11,12,0
time.facebook.com,12,13,0
time.facebook.com,13,12,0
time.facebook.com,14,12,0
time.facebook.com,15,13,0
time.facebook.com,16,12,0
time.facebook.com,17,12,0
time.facebook.com,18,12,0
time.facebook.com,19,12,0
time.facebook.com,20,12,0
time.facebook.com,21,12,0
