Server,Time Elapsed(s),Successful Requests,Failed Requests
time.apple.com,1,21,0
time.apple.com,2,21,0
time.apple.com,3,20,0
time.apple.com,4,22,0
time.apple.com,5,22,0
time.apple.com,6,22,0
time.apple.com,7,21,0
time.apple.com,8,22,0
time.apple.com,9,22,0
time.apple.com,10,23,0
time.apple.com,11,22,0
time.apple.com,12,22,0
time.apple.com,13,23,0
time.apple.com,14,22,0
time.apple.com,15,22,0
time.apple.com,16,22,0
time.apple.com,17,23,0
time.apple.com,19,22,0
time.apple.com,20,22,0
time.apple.com,21,22,0
time.apple.com,22,23,0
time.apple.com,23,22,0
time.apple.com,24,23,0
time.apple.com,25,21,0
time.apple.com,26,23,0
time.apple.com,27,23,0
time.apple.com,28,23,0
time.apple.com,29,23,0
time.asia.apple.com,1,21,0
time.asia.apple.com,2,22,0
time.asia.apple.com,3,21,0
time.asia.apple.com,4,22,0
time.asia.apple.com,5,22,0
time.asia.apple.com,6,21,0
time.asia.apple.com,7,21,0
time.asia.apple.com,8,23,0
time.asia.apple.com,9,23,0
time.asia.apple.com,10,23,0
time.asia.apple.com,11,23,0
time.asia.apple.com,12,22,0
time.asia.apple.com,13,22,0
time.asia.apple.com,14,23,0
time.asia.apple.com,15,22,0
time.asia.apple.com,16,22,0
time.asia.apple.com,18,22,0
time.asia.apple.com,19,22,0
time.asia.apple.com,20,21,0
time.asia.apple.com,21,22,0
time.asia.apple.com,22,22,0
time.asia.apple.com,23,21,0
time.asia.apple.com,24,22,0
time.asia.apple.com,25,21,0
time.asia.apple.com,26,21,0
time.asia.apple.com,27,21,0
time.asia.apple.com,28,22,0
time.asia.apple.com,29,21,0
time.euro.apple.com,1,21,0
time.euro.apple.com,2,22,0
time.euro.apple.com,3,19,0
time.euro.apple.com,4,17,0
time.euro.apple.com,5,18,0
time.euro.apple.com,6,18,0
time.euro.apple.com,7,16,0
time.euro.apple.com,8,20,0
time.euro.apple.com,9,19,0
time.euro.apple.com,10,16,0
time.euro.apple.com,11,21,0
time.euro.apple.com,12,23,0
time.euro.apple.com,13,22,0
time.euro.apple.com,14,23,0
time.euro.apple.com,15,22,0
time.euro.apple.com,16,22,0
time.euro.apple.com,17,23,0
time.euro.apple.com,19,23,0
time.euro.apple.com,20,22,0
time.euro.apple.com,21,21,0
time.euro.apple.com,22,23,0
time.euro.apple.com,23,22,0
time.euro.apple.com,24,23,0
time.euro.apple.com,25,22,0
time.euro.apple.com,26,23,0
time.euro.apple.com,27,23,0
time.euro.apple.com,28,22,0
time.euro.apple.com,29,22,0
time.cloudflare.com,1,21,0
time.cloudflare.com,2,20,0
time.cloudflare.com,3,19,0
time.cloudflare.com,4,21,0
time.cloudflare.com,5,20,0
time.cloudflare.com,6,20,0
time.cloudflare.com,7,21,0
time.cloudflare.com,8,21,0
time.cloudflare.com,9,20,0
time.cloudflare.com,10,22,0
time.cloudflare.com,11,21,0
time.cloudflare.com,12,21,0
time.cloudflare.com,13,21,0
time.cloudflare.com,14,21,0
time.cloudflare.com,15,22,0
time.cloudflare.com,16,22,0
time.cloudflare.com,17,21,0
time.cloudflare.com,18,22,0
time.cloudflare.com,20,22,0
time.cloudflare.com,21,21,0
time.cloudflare.com,22,21,0
time.cloudflare.com,23,21,0
time.cloudflare.com,24,21,0
time.cloudflare.com,25,20,0
time.cloudflare.com,26,21,0
time.cloudflare.com,27,21,0
time.cloudflare.com,28,20,0
time.cloudflare.com,29,20,0
time.facebook.com,1,20,0
time.facebook.com,2,20,0
time.facebook.com,3,20,0
time.facebook.com,4,20,0
time.facebook.com,5,20,0
time.facebook.com,6,19,0
time.facebook.com,7,20,0
time.facebook.com,8,20,0
time.facebook.com,9,21,0
time.facebook.com,10,21,0
time.facebook.com,11,21,0
time.facebook.com,12,21,0
time.facebook.com,13,21,0
time.facebook.com,14,21,0
time.facebook.com,15,21,0
time.facebook.com,16,20,0
time.facebook.com,17,19,0
time.facebook.com,18,20,0
time.facebook.com,19,19,0
time.facebook.com,20,20,0
time.facebook.com,21,20,0
time.facebook.com,23,20,0
time.facebook.com,24,20,0
time.facebook.com,25,20,0
time.facebook.com,26,20,0
time.facebook.com,27,20,0
time.facebook.com,28,20,0
time.facebook.com,29,19,0
time1.facebook.com,1,25,0
time1.facebook.com,2,25,0
time1.facebook.com,3,26,0
time1.facebook.com,4,27,0
time1.facebook.com,5,27,0
time1.facebook.com,6,23,0
time1.facebook.com,7,26,0
time1.facebook.com,8,27,0
time1.facebook.com,9,27,0
time1.facebook.com,10,26,0
time1.facebook.com,11,26,0
time1.facebook.com,12,27,0
time1.facebook.com,13,27,0
